model,method,prompt_name,file_name,sample_count,time
gpt-oss,segment_to_segment,Prompt 3,cejil_1_es_pt.json,225,2138.94
gpt-oss,segment_to_segment,Prompt 3,cejil_1_pt_es.json,225,2561.92
gpt-oss,segment_to_segment,Prompt 3,cejil_2_es_pt.json,44,329.84
gpt-oss,segment_to_segment,Prompt 3,cejil_2_pt_es.json,44,304.16
gpt-oss,segment_to_segment,Prompt 3,ihrda_1_en_pt.json,139,816.01
gpt-oss,segment_to_segment,Prompt 3,ihrda_1_pt_en.json,139,782.64
gpt-oss,segment_to_segment,Prompt 3,ihrda_2_en_fr.json,105,697.26
gpt-oss,segment_to_segment,Prompt 3,ihrda_2_fr_en.json,105,564.25
gpt-oss,segment_to_segment,Prompt 3,ohchr_1_en_ru.json,109,1061.06
gpt-oss,segment_to_segment,Prompt 3,ohchr_1_ru_en.json,110,898.61
gpt-oss,segment_to_segment,Prompt 3,ohchr_2_en_fr.json,137,1132.75
gpt-oss,segment_to_segment,Prompt 3,ohchr_2_fr_en.json,137,961.47
gpt-oss,segment_to_segment,Prompt 3,plan_1_en_es.json,31,170.64
gpt-oss,segment_to_segment,Prompt 3,plan_1_es_en.json,31,132.7
gpt-oss,segment_to_segment,Prompt 3,plan_2_en_fr.json,55,360.89
gpt-oss,segment_to_segment,Prompt 3,plan_2_fr_en.json,55,331.06
gpt-oss,previous_after_segments,Prompt 4,cejil_1_es_pt.json,225,2493.01
gpt-oss,previous_after_segments,Prompt 4,cejil_1_pt_es.json,225,2425.51
gpt-oss,previous_after_segments,Prompt 4,cejil_2_es_pt.json,44,275.45
gpt-oss,previous_after_segments,Prompt 4,cejil_2_pt_es.json,44,248.2
gpt-oss,previous_after_segments,Prompt 4,ihrda_1_en_pt.json,139,703.55
gpt-oss,previous_after_segments,Prompt 4,ihrda_1_pt_en.json,139,759.45
gpt-oss,previous_after_segments,Prompt 4,ihrda_2_en_fr.json,105,575.25
gpt-oss,previous_after_segments,Prompt 4,ihrda_2_fr_en.json,105,458.28
gpt-oss,previous_after_segments,Prompt 4,ohchr_1_en_ru.json,109,1132.74
gpt-oss,previous_after_segments,Prompt 4,ohchr_1_ru_en.json,110,892.91
gpt-oss,previous_after_segments,Prompt 4,ohchr_2_en_fr.json,137,1206.69
gpt-oss,previous_after_segments,Prompt 4,ohchr_2_fr_en.json,137,969.13
gpt-oss,previous_after_segments,Prompt 4,plan_1_en_es.json,31,207.79
gpt-oss,previous_after_segments,Prompt 4,plan_1_es_en.json,31,167.11
gpt-oss,previous_after_segments,Prompt 4,plan_2_en_fr.json,55,442.29
gpt-oss,previous_after_segments,Prompt 4,plan_2_fr_en.json,55,363.27
gpt-oss,page_to_page,Prompt 3,cejil_1_es_pt.json,42,1657.63
gpt-oss,page_to_page,Prompt 3,cejil_1_pt_es.json,41,1605.51
gpt-oss,page_to_page,Prompt 3,cejil_2_es_pt.json,6,152.93
gpt-oss,page_to_page,Prompt 3,cejil_2_pt_es.json,6,162.6
gpt-oss,page_to_page,Prompt 3,ihrda_1_en_pt.json,22,329.04
gpt-oss,page_to_page,Prompt 3,ihrda_1_pt_en.json,23,389.4
gpt-oss,page_to_page,Prompt 3,ihrda_2_en_fr.json,17,326.8
gpt-oss,page_to_page,Prompt 3,ihrda_2_fr_en.json,17,250.9
gpt-oss,page_to_page,Prompt 3,ohchr_1_en_ru.json,12,1134.92
gpt-oss,page_to_page,Prompt 3,ohchr_1_ru_en.json,15,448.18
gpt-oss,page_to_page,Prompt 3,ohchr_2_en_fr.json,22,605.0
gpt-oss,page_to_page,Prompt 3,ohchr_2_fr_en.json,22,526.46
gpt-oss,page_to_page,Prompt 3,plan_1_en_es.json,3,88.31
gpt-oss,page_to_page,Prompt 3,plan_1_es_en.json,3,107.54
gpt-oss,page_to_page,Prompt 3,plan_2_en_fr.json,7,212.7
gpt-oss,page_to_page,Prompt 3,plan_2_fr_en.json,7,223.51
aya:35b[gcloud],segment_to_segment,Prompt 3,cejil_1_es_pt.json,225,14006.59
aya:35b[gcloud],segment_to_segment,Prompt 3,cejil_1_pt_es.json,225,14550.76
aya:35b[gcloud],segment_to_segment,Prompt 3,cejil_2_es_pt.json,44,1143.89
aya:35b[gcloud],segment_to_segment,Prompt 3,cejil_2_pt_es.json,44,1191.32
aya:35b[gcloud],segment_to_segment,Prompt 3,ihrda_1_en_pt.json,139,3221.74
aya:35b[gcloud],segment_to_segment,Prompt 3,ihrda_1_pt_en.json,139,2893.66
aya:35b[gcloud],segment_to_segment,Prompt 3,ihrda_2_en_fr.json,105,2356.27
aya:35b[gcloud],segment_to_segment,Prompt 3,ihrda_2_fr_en.json,105,1911.71
aya:35b[gcloud],segment_to_segment,Prompt 3,ohchr_1_en_ru.json,109,4564.24
aya:35b[gcloud],segment_to_segment,Prompt 3,ohchr_1_ru_en.json,110,4364.61
aya:35b[gcloud],segment_to_segment,Prompt 3,ohchr_2_en_fr.json,137,6861.6
aya:35b[gcloud],segment_to_segment,Prompt 3,ohchr_2_fr_en.json,137,5649.11
